DateTime,Currency,Impact,Event,,,
6/14/2010 9:15,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
6/15/2010 10:15,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
6/15/2010 19:30,EUR,Medium Impact Expected,Final CPI y/y,,,
6/15/2010 19:30,USD,High Impact Expected,PPI m/m,,,
6/15/2010 19:30,USD,Medium Impact Expected,Core PPI m/m,,,
6/15/2010 19:30,EUR,Medium Impact Expected,Final Core CPI y/y,,,
6/16/2010 19:30,USD,High Impact Expected,CPI y/y,,,
6/16/2010 19:30,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
6/16/2010 19:30,USD,High Impact Expected,Core CPI m/m,,,
6/16/2010 19:30,USD,Medium Impact Expected,CPI m/m,,,
6/17/2010 8:00,EUR,Medium Impact Expected,ECB Monthly Bulletin,,,
6/17/2010 12:00,EUR,Medium Impact Expected,German Buba President Weber Speaks,,,
6/17/2010 14:00,USD,High Impact Expected,Philly Fed Manufacturing Index,,,
6/18/2010 6:00,EUR,Medium Impact Expected,German PPI m/m,,,
6/21/2010 14:30,EUR,High Impact Expected,ECB President Trichet Speaks,,,
6/21/2010 19:30,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
6/22/2010 19:30,USD,High Impact Expected,FOMC Statement,,,
6/28/2010 16:00,EUR,Medium Impact Expected,German Buba President Weber Speaks,,,
6/28/2010 16:45,USD,Medium Impact Expected,FOMC Member Warsh Speaks,,,
6/28/2010 19:29,EUR,Medium Impact Expected,German Prelim CPI m/m,,,
6/29/2010 19:30,EUR,Low Impact Expected,Italian Prelim CPI m/m,,,
6/30/2010 9:00,EUR,Medium Impact Expected,CPI Flash Estimate y/y,,,
6/30/2010 13:00,USD,Low Impact Expected,FOMC Member Duke Speaks,,,
6/30/2010 14:30,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
7/1/2010 19:30,EUR,Low Impact Expected,PPI m/m,,,
7/7/2010 19:30,EUR,High Impact Expected,ECB Press Conference,,,
7/9/2010 6:00,EUR,Low Impact Expected,German Final CPI m/m,,,
7/9/2010 6:50,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
7/12/2010 14:00,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
7/12/2010 21:15,USD,Low Impact Expected,FOMC Member Duke Speaks,,,
7/13/2010 6:45,EUR,Low Impact Expected,French Final CPI m/m,,,
7/13/2010 19:30,EUR,Medium Impact Expected,Final CPI y/y,,,
7/14/2010 9:00,EUR,Medium Impact Expected,Final Core CPI y/y,,,
7/14/2010 18:00,USD,High Impact Expected,FOMC Meeting Minutes,,,
7/14/2010 19:30,USD,Medium Impact Expected,Core PPI m/m,,,
7/14/2010 19:30,USD,High Impact Expected,Philly Fed Manufacturing Index,,,
7/14/2010 19:30,USD,High Impact Expected,PPI m/m,,,
7/15/2010 8:00,EUR,Medium Impact Expected,ECB Monthly Bulletin,,,
7/15/2010 14:00,USD,High Impact Expected,Fed Gov Nomination Hearings,,,
7/15/2010 19:30,USD,High Impact Expected,CPI y/y,,,
7/15/2010 19:30,USD,Medium Impact Expected,CPI m/m,,,
7/15/2010 19:30,USD,High Impact Expected,Core CPI m/m,,,
7/19/2010 13:00,USD,Low Impact Expected,FOMC Member Duke Speaks,,,
7/20/2010 6:00,EUR,Medium Impact Expected,German PPI m/m,,,
7/20/2010 14:00,USD,Low Impact Expected,FOMC Member Tarullo Speaks,,,
7/20/2010 19:30,USD,Low Impact Expected,Fed Monetary Policy Report,,,
7/21/2010 18:00,USD,High Impact Expected,Fed Chairman Bernanke Testifies,,,
7/21/2010 19:30,USD,Low Impact Expected,FOMC Member Dudley Speaks,,,
7/22/2010 13:30,USD,High Impact Expected,Fed Chairman Bernanke Testifies,,,
7/28/2010 19:29,EUR,Medium Impact Expected,German Prelim CPI m/m,,,
7/29/2010 19:30,EUR,Low Impact Expected,Italian Prelim CPI m/m,,,
7/30/2010 9:00,EUR,Medium Impact Expected,CPI Flash Estimate y/y,,,
8/2/2010 14:15,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
8/2/2010 20:00,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
8/3/2010 9:00,EUR,Low Impact Expected,PPI m/m,,,
8/4/2010 19:30,EUR,High Impact Expected,ECB Press Conference,,,
8/4/2010 20:00,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
8/5/2010 16:00,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
8/6/2010 7:30,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
8/9/2010 19:30,USD,High Impact Expected,FOMC Statement,,,
8/10/2010 6:00,EUR,Low Impact Expected,German Final CPI m/m,,,
8/12/2010 8:00,EUR,Medium Impact Expected,ECB Monthly Bulletin,,,
8/12/2010 14:00,USD,Low Impact Expected,FOMC Member Duke Speaks,,,
8/12/2010 19:30,USD,Medium Impact Expected,CPI m/m,,,
8/12/2010 19:30,USD,High Impact Expected,CPI y/y,,,
8/12/2010 19:30,EUR,Low Impact Expected,French Final CPI m/m,,,
8/12/2010 19:30,USD,High Impact Expected,Core CPI m/m,,,
8/13/2010 15:30,USD,Medium Impact Expected,FOMC Member Hoenig Speaks,,,
8/15/2010 19:30,EUR,Medium Impact Expected,Final CPI y/y,,,
8/16/2010 9:00,EUR,Medium Impact Expected,Final Core CPI y/y,,,
8/16/2010 19:30,USD,High Impact Expected,PPI m/m,,,
8/16/2010 19:30,USD,Medium Impact Expected,Core PPI m/m,,,
8/17/2010 13:00,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
8/19/2010 6:00,EUR,Medium Impact Expected,German PPI m/m,,,
8/19/2010 14:00,USD,High Impact Expected,Philly Fed Manufacturing Index,,,
8/19/2010 16:30,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
8/23/2010 14:30,USD,Medium Impact Expected,FOMC Member Hoenig Speaks,,,
8/27/2010 14:00,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
8/27/2010 16:50,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
8/27/2010 19:29,EUR,Medium Impact Expected,German Prelim CPI m/m,,,
8/30/2010 16:30,USD,Low Impact Expected,President Obama Speaks,,,
8/30/2010 17:30,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
8/30/2010 19:30,EUR,Low Impact Expected,Italian Prelim CPI m/m,,,
8/31/2010 9:00,EUR,Medium Impact Expected,CPI Flash Estimate y/y,,,
8/31/2010 18:00,USD,High Impact Expected,FOMC Meeting Minutes,,,
9/1/2010 14:45,USD,Low Impact Expected,FOMC Member Duke Speaks,,,
9/2/2010 9:00,EUR,Low Impact Expected,PPI m/m,,,
9/2/2010 12:30,EUR,High Impact Expected,ECB Press Conference,,,
9/2/2010 13:00,USD,High Impact Expected,Fed Chairman Bernanke Testifies,,,
